CLIN,PartNO,Description,Price
15S-745,PO400G-EL-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-107,PO400G-EL-MUX,License option for Elemental Live onboard statistical multiplexing. StatMux performs closed-loop rate control of local encodes on the Elemental Live system on which it is licensed. License is limited by the capacity of the system,"$7,207.03"
15S-746,PO400G-EL-MUX-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$1,566.27"
15S-747,PO400G-EL-MUX-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$1,957.84"
15S-748,PO400G-EL-MUX-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$1,174.70"
15S-80,PO400G-EL-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Live",$938.00
15S-749,PO400G-EL-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-750,PO400G-EL-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-751,PO400G-EL-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-95,PO400G-ES-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$2,531.51"
15S-752,PO400G-ES-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$550.17
15S-753,PO400G-ES-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$687.70
15S-754,PO400G-ES-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$412.62
15S-87,PO400G-ES-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc","$1,517.46"
15S-755,PO400G-ES-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$329.79
15S-756,PO400G-ES-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$412.23
15S-757,PO400G-ES-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$247.33
15S-71,PO400G-ES-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-758,PO400G-ES-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-759,PO400G-ES-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-760,PO400G-ES-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-79,PO400G-ES-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for:  Elemental Server",$938.00
15S-761,PO400G-ES-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-762,PO400G-ES-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-763,PO400G-ES-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-98,PO500G-EL-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$2,531.51"
15S-764,PO500G-EL-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$550.17
15S-765,PO500G-EL-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$687.70
15S-766,PO500G-EL-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$412.62
15S-90,PO500G-EL-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc","$1,517.46"
15S-767,PO500G-EL-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$329.79
15S-768,PO500G-EL-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$412.23
15S-769,PO500G-EL-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$247.33
15S-74,PO500G-EL-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-770,PO500G-EL-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-771,PO500G-EL-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-772,PO500G-EL-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-82,PO500G-EL-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Live",$938.00
15S-773,PO500G-EL-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-774,PO500G-EL-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-775,PO500G-EL-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-97,PO500G-ES-ADE,Includes additional audio decoders to support advanced audio inputs Dolby Digital Plus (EAC3) decodingDolby E decoding,"$2,531.51"
15S-776,PO500G-ES-ADE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$550.17
15S-777,PO500G-ES-ADE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$687.70
15S-778,PO500G-ES-ADE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$412.62
15S-89,PO500G-ES-AUD,"Includes additional audio encoders to Support advanced audio outputs Dolby Digital (AC3) Encoding for Ultraviolet, TS and HLS outputsDolby Digital Plus (EAC3) Encoding for Ultraviolet, TS, HLS, Smooth Streaming outputsDTS Encoding for archival outputs inc","$1,517.46"
15S-779,PO500G-ES-AUD-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$329.79
15S-780,PO500G-ES-AUD-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$412.23
15S-781,PO500G-ES-AUD-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$247.33
15S-73,PO500G-ES-CAB,"Enables creation of files that conform to industry specifications such as CableLabs content encoding specification. Includes Dolby Digital(AC3) audio encoding, enhanced muxing capabilities and audio normalization and monitoring via ITU-R BS.1770, correcti","$2,824.87"
15S-782,PO500G-ES-CAB-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$613.91
15S-783,PO500G-ES-CAB-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$767.39
15S-784,PO500G-ES-CAB-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$460.44
15S-81,PO500G-ES-NORM,"Enables monitoring via ITU-R BS.1770, correction in accordance with ITU-R BS.1770 and logging compliant with the CALM ACT (ATSC A/85).  License for: Elemental Server",$938.00
15S-785,PO500G-ES-NORM-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support",$203.86
15S-786,PO500G-ES-NORM-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.",$254.81
15S-787,PO500G-ES-NORM-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$152.89
15S-115,PS-CONSULT-310,"Per day rate for case by case quoting based on agreed scope of work. Solutions engineer will consult with customer to implement Elemental reference designs or develop custom solutions based on Elemental products, as well as develop custom tools, plugins,","$3,373.16"
15S-116,PS-ENSURE-410,"Per day rate for case by case quoting based on agreed scope of work. Elemental engineer will stage and qualify entire Elemental solution in Elemental environment, then provide customer (or Delivery team) with detailed implementation procedures under the E","$2,951.51"
15S-113,PS-IMPLEMENT-110,"Per day, Elemental engineer to install, upgrade, assess, repair (out of contract) and/or configure one or more systems performed under the IMPLEMENT professional services category. Includes in-region travel and expenses.","$2,529.87"
15S-114,PS-INTEGRATION-210,"Per day, Elemental engineer to integrate Elemental system into customer environment, qualify 3rd party platforms, evaluate system health, and/or conduct performance tuning under the INTEGRATE professional services category. Includes in-region travel and e","$2,951.51"
15S-117,PS-TRAINING-510,Per custom training course rate for customized or on-site educational offerings. Billing is dependent upon the number of days associated with the courses developed/delivered to the customer. Individual 1/4 and 1/2 day courses billed prorata when purchased,"$2,529.87"
15S-118,PS-TRAINING-520,Per education training session for standard education offerings. Billing is dependent upon the credits associated individual courses in the Elemental curriculum. Individual 1/4 and 1/2 day courses billed prorata when purchased as part of a package. Includ,"$1,686.58"
15S-13,S200SE,"Solution includes: 
SW: GPU-accelerated, file-based video transcoding. Output to common broadcast, editing and web-based formats using H.264, VC-1 and MPEG-2 codecs. Support for up to 1 Kepler GPUs, 16 CPU Cores 
HW: None","$6,482.70"
15S-788,S200SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$1,408.85"
15S-789,S200SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$1,761.07"
15S-790,S200SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$1,056.64"
15S-1,S220AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 GigE ports","$19,520.55"
15S-791,S220AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,242.30"
15S-792,S220AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,302.88"
15S-793,S220AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,181.73"
15S-2,S221AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 GigE ports, 2x8Gbps Fibre","$21,693.52"
15S-794,S221AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,714.55"
15S-795,S221AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,893.18"
15S-796,S221AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,535.91"
15S-3,S222AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 GigE ports, 2 x 10GE ports","$21,693.52"
15S-797,S222AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,714.55"
15S-798,S222AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,893.18"
15S-799,S222AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,535.91"
15S-4,S223AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 2 GPUs, dual power supplies, 2 GigE ports, 2 x 10GE ports","$21,693.52"
15S-800,S223AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,714.55"
15S-801,S223AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,893.18"
15S-802,S223AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,535.91"
15S-5,S224AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 2 GPUs, dual power supplies, 6 GigE ports","$20,969.20"
15S-803,S224AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,557.13"
15S-804,S224AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,696.42"
15S-805,S224AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,417.85"
15S-6,S234AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 2 RU, 16 CPU cores, 2 GPUs, dual power supplies, 4 GigE ports","$21,693.52"
15S-806,S234AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,714.55"
15S-807,S234AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,893.18"
15S-808,S234AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,535.91"
15S-7,S235AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 2 RU, 16 CPU cores, 2 GPUs, dual power supplies, 4 GigE ports, 2 x 8Gbps Fibr","$23,866.50"
15S-809,S235AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$5,186.79"
15S-810,S235AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$6,483.49"
15S-811,S235AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,890.09"
15S-8,S400AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 4 GPUs, dual power supplies, 2 GigE ports","$33,282.72"
15S-812,S400AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,233.17"
15S-813,S400AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,041.46"
15S-814,S400AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,424.88"
15S-14,S400SE,"Solution includes: 
SW: GPU-accelerated, file-based video transcoding. Output to common broadcast, editing and web-based formats using H.264, VC-1 and MPEG-2 codecs. Support for up to 4 Kepler GPUs, 32 CPU Cores 
HW: None","$21,693.52"
15S-815,S400SE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$4,714.55"
15S-816,S400SE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$5,893.18"
15S-817,S400SE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$3,535.91"
15S-9,S401AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 4 GPUs, dual power supplies, 2 GigE ports, 2 x 8Gbps Fibr","$35,455.70"
15S-818,S401AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,705.41"
15S-819,S401AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,631.76"
15S-820,S401AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,779.06"
15S-10,S402AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 4 GPUs, dual power supplies, 2 GigE ports, 2 x 10GE ports","$35,455.70"
15S-821,S402AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,705.41"
15S-822,S402AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,631.76"
15S-823,S402AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,779.06"
15S-11,S403AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 4 GPUs, dual power supplies, 2 GigE ports, 2 x 10GE ports","$35,455.70"
15S-824,S403AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$7,705.41"
15S-825,S403AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$9,631.76"
15S-826,S403AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$5,779.06"
15S-12,S404AE,"File-based video transcoding in software, GPU-accelerated. Outputs include common broadcast, editing, and web-based formats using HEVC, H.264, MPEG-2, and VC-1 codecs. Platform: 1 RU, 16 CPU cores, 4 GPUs, dual power supplies, 2 GigE ports, 2 x 10GE ports","$37,628.67"
15S-827,S404AE-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$8,177.65"
15S-828,S404AE-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$10,222.07"
15S-829,S404AE-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi","$6,133.24"
15S-112,SP126,Solution includes: HW: Replacement FIBRE Channel Card,"$5,794.60"
15S-830,SP126-MNT-GLD,"12-Month Support agreement for Elemental products and services. For hardware-based products, advance parts exchange with overnight delivery. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support","$1,259.31"
15S-831,SP126-MNT-PLT,"12-Month Support agreement for Elemental products and services. For hardware-based products, parts replacement onsite within 4 hours. Includes Phone Technical and Email Support (24 x 7), no charge software upgrades and updates for 12-month Support period.","$1,574.14"
15S-832,SP126-MNT-SLV,"12-Month Support agreement for Elemental products and services. For hardware-based products, 2-day replace/repair. Includes Phone and Email Technical Support (24 x 7), no charge software upgrades and updates for 12-month Support period. Pay per visit onsi",$944.48
15S-111,SP200,Solution includes: HW: Replacement Power Supply for Supermicro 1027 1RU servers,$724.32
